UUID|INTERNAL_REFERENCES|CLASSIFICATION_UUID|DISPLAY_STRUCTURE_ID|IDEALIZED_STRUCTURE_ID|APPROVAL_ID
9ea8dfde-ae98-4196-bd59-f80fe9e4498e|[{"label":"GInAS Reference","term":"526da6b9-07f9-4324-b488-e3aaf13f8eed"},{"label":"GInAS Reference","term":"858f3464-1944-474a-9d52-202b098fad13"}]|a3d75813-d0bd-40bb-90fb-ae446fdae243|599afc42-309b-427d-923a-69dea0150c7f|27786929-1503-47b6-87cf-d78bd711a869|4QQN74LH4O
ae209ba0-6a8f-4808-b529-3db057771a04|[{"label":"GInAS Reference","term":"91676d7a-0cd8-40e2-90b0-0d189213093f"},{"label":"GInAS Reference","term":"f95de1c1-9c04-48a3-83b0-d9f1f7625264"}]|9de35040-bbf8-45c4-8d06-064239047c1d|867d17a3-8284-4089-a396-916814a10be1|221a3064-e257-4503-b361-02e357d3109f|R67D5N7LRS
0097f3d5-ccaf-454a-972a-1802f12de7a4|[{"label":"GInAS Reference","term":"a7161593-0fa6-4845-8399-a406079d1b2c"},{"label":"GInAS Reference","term":"d7833491-59a0-4832-940f-4a65ec237d96"}]|75ca8789-f87a-4a0f-bdef-b452cc1f27f3|05c8b471-5248-4d53-baad-f01101b650c4|4d06cc7d-0ac5-4e59-addf-01eefc04779b|B697894SGQ
bc197956-442b-4967-a409-d00f6e1eb72a|[{"label":"GInAS Reference","term":"276d7bcd-fd66-4a69-9af5-4b989f4443f9"},{"label":"GInAS Reference","term":"a286a61e-05ca-4140-907b-1a4c0f9f5806"}]|6625dd04-2f94-41b4-ac24-1e66ea3e9ace|7d932af1-df75-4dad-ae69-6e3e132fc6df|704afaa6-f772-4420-bef0-413659b56c58|36SFW2JZ0W
932c5c57-42b1-4d17-b7b8-176f50db2021|[{"label":"GInAS Reference","term":"b552da25-e0b8-402b-8f55-f94ce617132c"},{"label":"GInAS Reference","term":"5f2cb335-e8aa-4184-b55c-78604e62f165"}]|33da0646-7827-4f28-bfc9-555e6c512935|9f5087d6-b348-4487-98fb-7dbb086bc623|da52a8e7-f06d-4c30-aef0-c902086b49ff|Z135WT9208
9d9891e1-1d79-4f68-ac43-511de0d3ca2c|[{"label":"GInAS Reference","term":"6cf64fbf-d3d1-4a87-a296-b16d922eb553"},{"label":"GInAS Reference","term":"0b16fb33-1d3c-4af5-980c-1df76463f74a"},{"label":"GInAS Reference","term":"d5d77282-3fc1-488f-855f-4f1b4c6a6c4b"}]|f898b0ae-1a89-495f-8ecb-72454a0e02e1|4f6c1600-aef1-4f4e-9d34-d0f7b3c3f288|28caf30b-752b-4082-86aa-4747612bfcfb|U6K360XMIU
1df261ca-06ba-4a91-9854-381e70304eea|[{"label":"GInAS Reference","term":"49c7b265-2754-407d-8b78-aca5aaf353cb"},{"label":"GInAS Reference","term":"6a709d39-f062-43f3-b574-0bf01078ff31"}]|65be3555-3587-4eee-9c87-dbb3ff344da5|9d113184-fa6d-4981-b779-51cddaf4f9ee|06617d00-ac4b-4791-a33b-d9be53431d09|12VCE9HR9E
a265018b-2f68-4df0-aa89-11b86ea16086|[{"label":"GInAS Reference","term":"8ff70141-25f9-4d5b-8fd3-05c6d0a517c8"},{"label":"GInAS Reference","term":"3d263c06-77f8-4fd2-9e5e-d796fbf6bfce"}]|0aea61cd-c00c-4868-9776-af5ab1d7160a|6df100e2-f251-42ea-9e8e-fc7f4ea27608|5c50747e-c95e-496a-8ede-e785802bee11|379M03VC9O
5c8f5d9a-76ab-4b1d-af1c-c10f9ef3f9c0|[{"label":"GInAS Reference","term":"96baf47d-c1a9-497d-bf5a-df89ad7b76cb"},{"label":"GInAS Reference","term":"199aaa60-592f-4b30-8ff2-7d8cb5ccae49"}]|f570bf0b-3ea9-454e-8f58-3ed1e5aeadd1|35a34b0e-4a97-4248-8925-46858c7ab2d5|2efa5389-e2c0-42ed-8041-7110fcb3272f|M825OX60H9
843405e7-f4a9-4e7c-b3f4-d18e473ac87d|[{"label":"GInAS Reference","term":"eed962bf-77a3-4429-86ae-3194b7123d22"},{"label":"GInAS Reference","term":"378ee9a6-5b43-41a7-9e03-01a553413445"},{"label":"GInAS Reference","term":"7831961d-1c8e-4b0b-a90a-58ff6d03d738"}]|cdb06169-ca87-4caf-89c0-ddc151043a09|045ae9e8-529c-4e1a-a754-092fb1b3c6c1|6105110b-677b-4b51-a1b3-bf00a133267c|02414N8GQC
