kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
gcc,gcc-100026,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Senecio,niveoaureus,,,Cuatrec.,Accepted,1,0,M,,,
gcc,gcc-100287,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Proustia,ilicifolia,,,Hook. & Arn.,Accepted,1,0,M,,,239661-1
gcc,gcc-100359,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Grindelia,scorzonerifolia,,,Hook. & Arn.,Accepted,1,0,M,,,210658-1
gcc,gcc-100413,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Othonna,furcata,,,(Lindl.) Druce,Accepted,1,0,M,,,236021-1
gcc,gcc-100429,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Achyrocline,lehmannii,,,Hieron.,Accepted,1,0,M,,,2556-2
gcc,gcc-100473,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Tephroseris,palustris,,,(L.) Rchb.,Accepted,0,1,L,,,
gcc,gcc-100578,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Artemisia,lessingiana,,,Besser,Accepted,1,0,M,,,179735-1
gcc,gcc-100687,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Lygodesmia,grandiflora,,,(Nutt.) Torr. & A.Gray,Accepted,1,0,M,,,231355-1
gcc,gcc-100748,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Ambrosia,chamissonis,,,(Less.) Greene,Accepted,2,0,M,E99H3G9J2Q,,11045-2
gcc,gcc-100977,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Porophyllum,viridiflorum,,,(Kunth) DC.,Accepted,1,0,M,,,239379-1
gcc,gcc-1010,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Antennaria,howellii,,,Greene,Accepted,1,0,M,,,14708-2
gcc,gcc-101045,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Hymenopappus,filifolius,,,Hook.,Accepted,1,0,M,,,125634-2
gcc,gcc-101080,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Pentacalia,decomposita,,,(Sch.Bip. ex Hieron.) Cuatrec.,Accepted,0,1,L,,,
gcc,gcc-101106,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Pseudognaphalium,gaudichaudianum,,,(DC.) Anderb.,Accepted,0,1,M,,,
gcc,gcc-101114,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Bidens,oligoflora,,,(Klatt) Wild,Accepted,0,1,M,,,
gcc,gcc-101134,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Printzia,pyrifolia,,,Less.,Accepted,1,0,M,,,239635-1
gcc,gcc-101204,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Senecio,ruwenzoriensis,,,S.Moore,Accepted,2,0,M,,,247396-1
gcc,gcc-101206,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Acourtia,wrightii,,,(A.Gray) Reveal & R.M.King,Accepted,1,1,M,,,3512-2
gcc,gcc-101258,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Senecio,littoreus,,,Thunb.,Accepted,1,0,M,,,
gcc,gcc-101292,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Lessingianthus,niederleinii,,,(Hieron.) H.Rob.,Accepted,0,1,M,,,
gcc,gcc-101356,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Erigeron,uniflorus,,,L.,Accepted,1,0,M,,,204648-1
gcc,gcc-10137,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Ligularia,fischeri,,,(Ledeb.) Turcz.,Accepted,1,0,M,L3PEG9BAVW,,
gcc,gcc-101417,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Centaurea,chilensis,,,Bertero ex Hook. & Arn.,Accepted,1,0,M,,,
gcc,gcc-101443,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Symphyotrichum,frondosum,,,(Nutt.) G.L.Nesom,Accepted,0,1,M,,,
gcc,gcc-101556,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Tagetes,multiflora,,,Kunth,Accepted,1,0,M,,,
gcc,gcc-101599,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Nidorella,resedifolia,,,DC.,Accepted,0,2,M,,,
gcc,gcc-101735,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Eremanthus,erythropappus,,,(DC.) MacLeish,Accepted,0,1,L,,,
gcc,gcc-101742,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Chromolaena,collina,,,(DC.) R.M.King & H.Rob.,Accepted,0,1,M,,,
gcc,gcc-101847,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Schkuhria,schkuhrioides,,,(Link & Otto) Thell.,Accepted,0,1,M,,,
gcc,gcc-101985,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Bidens,steppia,,,(Steetz) Sherff,Accepted,1,0,M,,,185258-1
gcc,gcc-102019,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Taraxacum,japonicum,,,Koidz.,Accepted,1,0,M,,,253647-1
gcc,gcc-102043,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Erigeron,caespitosus,,,Nutt.,Accepted,1,0,M,,,
gcc,gcc-102068,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Nabalus,trifoliolatus,,,Cass.,Accepted,0,1,M,,,
gcc,gcc-102130,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Baccharis,notosergila,,,Griseb.,Accepted,2,0,M,,,183514-1
gcc,gcc-102191,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Chaenactis,santolinoides,,,Greene,Accepted,1,0,M,,,192262-1
gcc,gcc-102242,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Mutisia,subspinosa,,,Cav.,Accepted,1,0,M,,,325667-2
gcc,gcc-102309,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Vernonia,teres,,,Wall.,Accepted,1,0,M,,,
gcc,gcc-102313,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Conyza,pinnata,,,(L.f.) Kuntze,Accepted,2,0,M,,,
gcc,gcc-102439,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Machaeranthera,gracilis,,,(Nutt.) Shinners,Accepted,1,0,M,,,148354-2
gcc,gcc-102460,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Smallanthus,riparius,,,(Kunth) H.Rob.,Accepted,0,1,M,,,
gcc,gcc-102488,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Carpesium,cernuum,,,L.,Accepted,1,0,M,,,189333-1
gcc,gcc-102489,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Stephanomeria,runcinata,,,Nutt.,Accepted,1,0,M,,,
gcc,gcc-102503,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Chrysothamnus,greenei,,,(A.Gray) Greene,Accepted,1,0,M,,,58025-2
gcc,gcc-102530,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Erigeron,compositus,,,Pursh,Accepted,1,0,M,,,
gcc,gcc-102548,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Trichocline,reptans,,,(Wedd.) Hieron.,Accepted,1,0,M,,,
gcc,gcc-102611,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Artemisia,alba,,,Turra,Accepted,1,1,M,,,
gcc,gcc-102769,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Chersodoma,jodopappa,,,Cabrera,Accepted,1,0,M,,,192753-1
gcc,gcc-103015,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Trichocline,plicata,,,Hook. & Arn.,Accepted,1,0,M,,,
gcc,gcc-103059,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Artemisia,carruthii,,,Alph.Wood ex Carruth.,Accepted,1,0,M,,,311371-2
gcc,gcc-103204,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Dittrichia,graveolens,,,(L.) Greuter,Accepted,1,2,M,,,201892-1
gcc,gcc-103292,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Artemisia,ludoviciana,,,Nutt.,Accepted,0,1,M,,,
gcc,gcc-103425,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Stevia,rebaudiana,,,(Bertoni) Bertoni,Accepted,4,1,M,,,
gcc,gcc-103503,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Launaea,sarmentosa,,,(Willd.) Sch.Bip. ex Kuntze,Accepted,1,1,M,,,113642-3
gcc,gcc-103560,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Erigeron,speciosus,,,(Lindl.) DC.,Accepted,0,1,M,,,
gcc,gcc-103570,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Bidens,cernua,,,L.,Accepted,1,0,M,,,184796-1
gcc,gcc-103670,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Blumea,eriantha,,,DC.,Accepted,1,0,M,,,185553-1
gcc,gcc-103680,Plantae,Angiospermae,Eudicots,Asterales,Asteraceae,Doronicum,falconeri,,,C.B.Clarke ex Hook.f.,Accepted,1,0,M,,,329154-2
