dier	FKUNDIER
L-DEOXYRIBOSE	FKUNL-DE
5FBC6	FKUN5FBC
lLR	FKUNLLRX
UNA	FKUNUNAX
FMOE	FKUNFMOE
25R	FKUN25RX
mR	FKUNMRXX
aR	FKUNARXX
LR	FKUNLRXX
R	FKUNRXXX
dR	FKUNDRXX
MOE	FKUNMOEX
mph	FKUNMPHX
3FAM	FKUN3FAM
5A6	FKUN5A6X
PONA	FKUNPONA
RGNA	FKUNRGNA
3A6	FKUN3A6X
am6	FKUNAM6X
qR	FKUNQRXX
am12	FKUNAM12
LR	FKUNLRXX
12ddR	FKUN12DD
SGNA	FKUNSGNA
5FAM	FKUN5FAM
fR	FKUNFRXX
3SS6	FKUN3SS6
4sR	FKUN4SRX
FR	FKUNFRXX
5cGT	FKUN5CGT
hx	FKUNHXXX
eR	FKUNERXX
aFR	FKUNAFRX
cEtR	FKUNCETR
iR	FKUNIRXX
imR	FKUNIMRX
PHOSPHATE, POTASSIUM	FKUNPHOS
Sodium Phosphorothioate S-isomer	FKUNSODI
Phosphorothioate S-isomer	FKUNPHOS
P-ETHOXY	FKUNP-ET
PPP	FKUNPPPX
Sodium Phosphorothioate R-Isomer	FKUNSODI
Phosphorothioate R-isomer	FKUNPHOS
70WT22SF4B	70WT22SF4B
naP	70WT22SF4B
pP	FKUNPPXX
ccnP	FKUNCCNP
nasP	FKUNNASP
bP	FKUNBPXX
P	FKUNPXXX
sP	FKUNSPXX
PPsP	FKUNPPSP
3'-PP(R)(thio)P-5'	FKUN3'-P
661J4K04NB	661J4K04NB
m7G	661J4K04NB
8J337D1HZY	8J337D1HZY
C	8J337D1HZY
JAC85A2161	JAC85A2161
A	JAC85A2161
56HH86ZVCT	56HH86ZVCT
U	56HH86ZVCT
QR26YLT7LT	QR26YLT7LT
T	QR26YLT7LT
5Z93L87A1R	5Z93L87A1R
G	5Z93L87A1R
